Year,Name,College,POS,Height (in),Weight (lbs),40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Drafted
2016,Mackensie Alexander,Clemson,CB,70,190,,11,,,,,1
2016,Eli Apple,Ohio State,CB,72,199,4.4,13,,,,,1
2016,Briean Boddy-Calhoun,Minnesota,CB,69,193,4.47,10,35,123,4.22,7.16,0
2016,James Bradberry,Samford,CB,72,211,4.5,16,36,124,4.21,6.91,1
2016,Anthony Brown,Purdue,CB,71,192,4.33,19,35,115,4.19,7.03,1
2016,Artie Burns,Miami,CB,71,193,4.46,,31.5,,,,1
2016,Juston Burris,North Carolina State,CB,72,212,4.53,19,36.5,122,4.4,7.1,1
2016,Taveze Calhoun,Mississippi State,CB,72,192,4.58,14,33.5,,,,0
2016,Maurice Canady,Virginia,CB,73,193,4.49,16,38,124,4.09,7.03,1
2016,Ken Crawley,Colorado,CB,72,187,4.43,,36.5,119,,,0
2016,DeAndre Elliott,Colorado State,CB,72,188,4.55,,41,125,3.94,6.93,0
2016,Kendall Fuller,Virginia Tech,CB,71,187,,15,,,,,1
2016,Deiondre Hall,Northern Iowa,CB,73,199,4.68,,37,127,4.06,7.07,0
2016,Vernon Hargreaves,Florida,CB,70,204,4.5,15,39,130,3.98,,1
2016,DeVante Harris,Texas AM,CB,70,176,4.56,,38.5,124,4.06,6.82,0
2016,Xavien Howard,Baylor,CB,72,201,4.58,11,33,122,4.15,7.18,1
2016,William Jackson,Houston,CB,72,189,4.37,10,,116,,,1
2016,Cyrus Jones,Alabama,CB,69,197,4.49,10,33,116,4.21,6.71,0
2016,Jonathan Jones,Auburn,CB,69,186,4.33,19,36,123,4.25,7.25,0
2016,Harlan Miller,Southeastern Louisiana,CB,71,182,4.65,6,35.5,118,4.43,7.44,1
2016,Eric Murray,Minnesota,CB,70,199,4.49,15,39.5,124,4.05,7.08,1
2016,Kevin Peterson,Oklahoma State,CB,70,181,4.58,14,35.5,121,4.31,6.94,0
2016,Jimmy Pruitt,San Jose State,CB,71,198,4.73,19,32,117,,,0
2016,Will Redmond,Mississippi State,CB,70,182,,,,,,,1
2016,Rashard Robinson,LSU,CB,73,171,4.49,,35.5,121,,,1
2016,KeiVarae Russell,Notre Dame,CB,71,192,,17,,,,,0
2016,Zack Sanchez,Oklahoma,CB,70,185,,19,35.5,116,,,1
