year,heightfeet,heightinches,heightinchestotal,weight,arms,hands,fortyyd,twentyyd,tenyd,twentyss,threecone,vertical,broad,bench,round,pick,pickround,picktotal,wonderlic,nflgrade,picked?
2015,5,9,69,205,0,0,4.6,0,0,3.95,6.79,42.5,130,24,0,0,0,0,0,5.9,0
2015,6,0,72,198,0,0,4.42,0,0,0,0,0,0,12,0,0,0,0,0,5.6,0
2015,6,0,72,221,0,0,4.57,0,0,4.1,7.1,39,121,19,0,0,0,0,0,6,0
2015,6,1,73,227,0,0,4.55,0,0,4.2,7.14,36,121,24,0,0,0,0,0,5.4,0
2015,5,8,68,180,0,0,4.43,0,0,4.07,6.64,34,121,13,0,0,0,0,0,5.3,0
2015,6,0,72,221,0,0,4.53,0,0,4.28,6.96,35.5,121,11,0,0,0,0,0,5.3,0
2015,6,0,72,218,0,0,4.56,0,0,4.03,7.09,35.5,122,0,0,0,0,0,0,5.5,0
2015,6,1,73,187,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,5.5,0
2015,6,6,78,294,0,0,5.03,0,0,4.19,7.2,30,111,0,0,0,0,0,0,5.6,0
2015,6,5,77,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0
2015,6,3,75,243,0,0,4.56,0,0,4.03,7.07,37,122,23,0,0,0,0,0,5.4,0
2015,6,7,79,292,0,0,5.1,0,0,4.53,7.57,34,117,24,0,0,0,0,0,6.2,0
2015,5,10,70,212,0,0,4.53,0,0,0,7.13,36.5,118,0,0,0,0,0,0,5.4,0
2015,6,2,74,236,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,4.9,0
2015,6,4,76,282,0,0,4.8,0,0,0,0,0,0,22,0,0,0,0,0,5,0
2015,6,6,78,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0
2015,6,3,75,246,0,0,4.53,0,0,4.15,6.91,41,130,35,0,0,0,0,0,6.1,0
2015,6,6,78,252,0,0,4.8,0,0,4.32,0,33,116,14,0,0,0,0,0,5.2,0
2015,6,1,73,197,0,0,4.42,0,0,4.15,6.66,41.5,129,7,0,0,0,0,0,5.4,0
2015,6,2,74,211,0,0,4.81,0,0,4.2,7.13,37,125,0,0,0,0,0,0,0,0
2015,6,2,74,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2015,6,2,74,258,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,5,0
2015,6,4,76,318,0,0,5.02,0,0,4.57,7.5,31,101,20,0,0,0,0,0,5,0
2015,6,4,76,303,0,0,5.57,0,0,4.65,7.9,23.5,90,22,0,0,0,0,0,5,0
2015,6,0,72,207,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,5.2,0
2015,6,0,72,231,0,0,5.03,0,0,4.62,7.47,26.5,100,0,0,0,0,0,0,5,0
2015,6,7,79,301,0,0,5.6,0,0,4.75,7.91,25,103,0,0,0,0,0,0,4.8,0
2015,6,4,76,268,0,0,5.04,0,0,4.23,0,30.5,112,20,0,0,0,0,0,5.2,0
2015,6,4,76,229,0,0,4.72,0,0,4.37,7.18,33,110,0,0,0,0,0,0,5,0
2015,6,1,73,236,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,4.8,0
